"cod_gemeinde","txt_gemeinde","canton","year"
1,"Aeugst am Albis","ZH",2018
2,"Affoltern am Albis","ZH",2018
3,"Bonstetten","ZH",2018
4,"Hausen am Albis","ZH",2018
5,"Hedingen","ZH",2018
6,"Kappel am Albis","ZH",2018
7,"Knonau","ZH",2018
8,"Maschwanden","ZH",2018
9,"Mettmenstetten","ZH",2018
10,"Obfelden","ZH",2018
11,"Ottenbach","ZH",2018
12,"Rifferswil","ZH",2018
13,"Stallikon","ZH",2018
14,"Wettswil am Albis","ZH",2018
21,"Adlikon","ZH",2018
22,"Benken (ZH)","ZH",2018
23,"Berg am Irchel","ZH",2018
24,"Buch am Irchel","ZH",2018
25,"Dachsen","ZH",2018
26,"Dorf","ZH",2018
27,"Feuerthalen","ZH",2018
28,"Flaach","ZH",2018
29,"Flurlingen","ZH",2018
30,"Andelfingen","ZH",2018
31,"Henggart","ZH",2018
32,"Humlikon","ZH",2018
33,"Kleinandelfingen","ZH",2018
34,"Laufen-Uhwiesen","ZH",2018
35,"Marthalen","ZH",2018
36,"Oberstammheim","ZH",2018
37,"Ossingen","ZH",2018
38,"Rheinau","ZH",2018
39,"Thalheim an der Thur","ZH",2018
40,"Trüllikon","ZH",2018
41,"Truttikon","ZH",2018
42,"Unterstammheim","ZH",2018
43,"Volken","ZH",2018
44,"Waltalingen","ZH",2018
51,"Bachenbülach","ZH",2018
52,"Bassersdorf","ZH",2018
53,"Bülach","ZH",2018
54,"Dietlikon","ZH",2018
55,"Eglisau","ZH",2018
56,"Embrach","ZH",2018
57,"Freienstein-Teufen","ZH",2018
58,"Glattfelden","ZH",2018
59,"Hochfelden","ZH",2018
60,"Höri","ZH",2018
61,"Hüntwangen","ZH",2018
62,"Kloten","ZH",2018
63,"Lufingen","ZH",2018
64,"Nürensdorf","ZH",2018
65,"Oberembrach","ZH",2018
66,"Opfikon","ZH",2018
67,"Rafz","ZH",2018
68,"Rorbas","ZH",2018
69,"Wallisellen","ZH",2018
70,"Wasterkingen","ZH",2018
71,"Wil (ZH)","ZH",2018
72,"Winkel","ZH",2018
81,"Bachs","ZH",2018
82,"Boppelsen","ZH",2018
83,"Buchs (ZH)","ZH",2018
84,"Dällikon","ZH",2018
85,"Dänikon","ZH",2018
86,"Dielsdorf","ZH",2018
87,"Hüttikon","ZH",2018
88,"Neerach","ZH",2018
89,"Niederglatt","ZH",2018
90,"Niederhasli","ZH",2018
91,"Niederweningen","ZH",2018
92,"Oberglatt","ZH",2018
93,"Oberweningen","ZH",2018
94,"Otelfingen","ZH",2018
95,"Regensberg","ZH",2018
96,"Regensdorf","ZH",2018
97,"Rümlang","ZH",2018
98,"Schleinikon","ZH",2018
99,"Schöfflisdorf","ZH",2018
100,"Stadel","ZH",2018
101,"Steinmaur","ZH",2018
102,"Weiach","ZH",2018
111,"Bäretswil","ZH",2018
112,"Bubikon","ZH",2018
113,"Dürnten","ZH",2018
114,"Fischenthal","ZH",2018
115,"Gossau (ZH)","ZH",2018
116,"Grüningen","ZH",2018
117,"Hinwil","ZH",2018
118,"Rüti (ZH)","ZH",2018
119,"Seegräben","ZH",2018
120,"Wald (ZH)","ZH",2018
121,"Wetzikon (ZH)","ZH",2018
131,"Adliswil","ZH",2018
134,"Hütten","ZH",2018
135,"Kilchberg (ZH)","ZH",2018
136,"Langnau am Albis","ZH",2018
137,"Oberrieden","ZH",2018
138,"Richterswil","ZH",2018
139,"Rüschlikon","ZH",2018
140,"Schönenberg (ZH)","ZH",2018
141,"Thalwil","ZH",2018
142,"Wädenswil","ZH",2018
151,"Erlenbach (ZH)","ZH",2018
152,"Herrliberg","ZH",2018
153,"Hombrechtikon","ZH",2018
154,"Küsnacht (ZH)","ZH",2018
155,"Männedorf","ZH",2018
156,"Meilen","ZH",2018
157,"Oetwil am See","ZH",2018
158,"Stäfa","ZH",2018
159,"Uetikon am See","ZH",2018
160,"Zumikon","ZH",2018
161,"Zollikon","ZH",2018
172,"Fehraltorf","ZH",2018
173,"Hittnau","ZH",2018
176,"Lindau","ZH",2018
177,"Pfäffikon","ZH",2018
178,"Russikon","ZH",2018
180,"Weisslingen","ZH",2018
181,"Wila","ZH",2018
182,"Wildberg","ZH",2018
191,"Dübendorf","ZH",2018
192,"Egg","ZH",2018
193,"Fällanden","ZH",2018
194,"Greifensee","ZH",2018
195,"Maur","ZH",2018
196,"Mönchaltorf","ZH",2018
197,"Schwerzenbach","ZH",2018
198,"Uster","ZH",2018
199,"Volketswil","ZH",2018
200,"Wangen-Brüttisellen","ZH",2018
211,"Altikon","ZH",2018
213,"Brütten","ZH",2018
214,"Dägerlen","ZH",2018
215,"Dättlikon","ZH",2018
216,"Dinhard","ZH",2018
218,"Ellikon an der Thur","ZH",2018
219,"Elsau","ZH",2018
220,"Hagenbuch","ZH",2018
221,"Hettlingen","ZH",2018
223,"Neftenbach","ZH",2018
224,"Pfungen","ZH",2018
225,"Rickenbach (ZH)","ZH",2018
226,"Schlatt (ZH)","ZH",2018
227,"Seuzach","ZH",2018
228,"Turbenthal","ZH",2018
230,"Winterthur","ZH",2018
231,"Zell (ZH)","ZH",2018
241,"Aesch (ZH)","ZH",2018
242,"Birmensdorf (ZH)","ZH",2018
243,"Dietikon","ZH",2018
244,"Geroldswil","ZH",2018
245,"Oberengstringen","ZH",2018
246,"Oetwil an der Limmat","ZH",2018
247,"Schlieren","ZH",2018
248,"Uitikon","ZH",2018
249,"Unterengstringen","ZH",2018
250,"Urdorf","ZH",2018
251,"Weiningen (ZH)","ZH",2018
261,"Zürich","ZH",2018
294,"Elgg","ZH",2018
295,"Horgen","ZH",2018
296,"Illnau-Effretikon","ZH",2018
297,"Bauma","ZH",2018
298,"Wiesendangen","ZH",2018
301,"Aarberg","BE",2018
302,"Bargen (BE)","BE",2018
303,"Grossaffoltern","BE",2018
304,"Kallnach","BE",2018
305,"Kappelen","BE",2018
306,"Lyss","BE",2018
307,"Meikirch","BE",2018
309,"Radelfingen","BE",2018
310,"Rapperswil (BE)","BE",2018
311,"Schüpfen","BE",2018
312,"Seedorf (BE)","BE",2018
321,"Aarwangen","BE",2018
322,"Auswil","BE",2018
323,"Bannwil","BE",2018
324,"Bleienbach","BE",2018
325,"Busswil bei Melchnau","BE",2018
326,"Gondiswil","BE",2018
329,"Langenthal","BE",2018
331,"Lotzwil","BE",2018
332,"Madiswil","BE",2018
333,"Melchnau","BE",2018
334,"Obersteckholz","BE",2018
335,"Oeschenbach","BE",2018
336,"Reisiswil","BE",2018
337,"Roggwil (BE)","BE",2018
338,"Rohrbach","BE",2018
339,"Rohrbachgraben","BE",2018
340,"Rütschelen","BE",2018
341,"Schwarzhäusern","BE",2018
342,"Thunstetten","BE",2018
344,"Ursenbach","BE",2018
345,"Wynau","BE",2018
351,"Bern","BE",2018
352,"Bolligen","BE",2018
353,"Bremgarten bei Bern","BE",2018
354,"Kirchlindach","BE",2018
355,"Köniz","BE",2018
356,"Muri bei Bern","BE",2018
357,"Oberbalm","BE",2018
358,"Stettlen","BE",2018
359,"Vechigen","BE",2018
360,"Wohlen bei Bern","BE",2018
361,"Zollikofen","BE",2018
362,"Ittigen","BE",2018
363,"Ostermundigen","BE",2018
371,"Biel/Bienne","BE",2018
372,"Evilard","BE",2018
381,"Arch","BE",2018
382,"Büetigen","BE",2018
383,"Büren an der Aare","BE",2018
