"cod_isco3","Parent","txt_isco3"
11,1,"Offiziere in regulären Streitkräften"
21,2,"Unteroffiziere in regulären Streitkräften"
31,3,"Angehörige der regulären Streitkräfte in sonstigen Rängen"
100,10,"Führungskräfte, onA"
110,11,"Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften, onA"
111,11,"Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete"
112,11,"Geschäftsführer und Vorstände"
120,12,"Führungskräfte im kaufmännischen Bereich, onA"
121,12,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen"
122,12,"Führungskräfte in Vertrieb, Marketing und Entwicklung"
130,13,"Führungskräfte in der Produktion und bei spezialisierten Dienstleistungen, onA"
131,13,"Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei"
132,13,"Führungskräfte in der Produktion von Waren, im Bergbau und im Bau sowie in der Logistik"
133,13,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie"
134,13,"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen"
140,14,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen, onA"
141,14,"Führungskräfte in Hotels und Restaurants"
142,14,"Führungskräfte in Gross- und Einzelhandel"
143,14,"Führungskräfte in der Erbringung sonstiger Dienstleistungen"
200,20,"Intellektuelle und wissenschaftliche Berufe, onA"
210,21,"Naturwissenschaftler, Mathematiker und Ingenieure, onA"
211,21,"Physiker, Chemiker, Geologen und verwandte Berufe"
212,21,"Mathematiker, Aktuare und Statistiker"
213,21,"Biowissenschaftler"
214,21,"Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation)"
215,21,"Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik"
216,21,"Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer"
220,22,"Spezialisten in Gesundheitsberufen, onA"
221,22,"Ärzte"
222,22,"Pflegedienstleitern, Pflegefachkräfte und Geburtshilfespezialisten"
223,22,"Spezialisten der traditionellen und komplementären Medizin"
224,22,"Feldscher und vergleichbare paramedizinische Praktiker"
225,22,"Tierärzte"
226,22,"Sonstige Spezialisten in Gesundheitsberufen"
230,23,"Lehrkräfte, onA"
231,23,"Universitäts- und Hochschullehrer"
232,23,"Lehrkräfte im Bereich Berufsbildung"
233,23,"Lehrkräfte im Sekundarbereich"
234,23,"Lehrkräfte im Primar- und Vorschulbereich"
235,23,"Sonstige Lehrkräfte"
240,24,"Betriebswirte und vergleichbare Spezialisten, onA"
241,24,"Spezialisten im Bereich Finanzen"
242,24,"Spezialisten der betrieblichen Verwaltung"
243,24,"Spezialisten in Vertrieb, Marketing und Öffentlichkeitsarbeit"
250,25,"Spezialisten in der Informations- und Kommunikationstechnologie, onA"
251,25,"Entwickler und Analytiker von Software und Anwendungen"
252,25,"Fachkräfte für Datenbanken und Netzwerke"
260,26,"Juristen, Sozialwissenschaftler und Kulturberufe, onA"
261,26,"Juristen"
262,26,"Archiv-, Bibliotheks- und Museumswissenschaftler"
263,26,"Sozialwissenschaftler, Geistliche und Seelsorger"
264,26,"Autoren, Journalisten und Linguisten"
265,26,"Bildende und darstellende Künstler"
300,30,"Techniker und gleichrangige nichttechnische Berufe, onA"
310,31,"Ingenieurtechnische und vergleichbare Fachkräfte, onA"
311,31,"Material- und ingenieurtechnische Fachkräfte"
312,31,"Produktionsleiter im Bergbau, bei der Herstellung von Waren, Polier und Vorarbeiter im Bau"
313,31,"Techniker in der Prozesssteuerung"
314,31,"Biotechniker und verwandte technische Berufe"
315,31,"Schiffsführer, Flugzeugpiloten und verwandte Berufe"
320,32,"Assistenzberufe im Gesundheitswesen, onA"
321,32,"Medizinische und pharmazeutische Fachberufe"
322,32,"Fachkräfte Geburtshilfe, Gesundheit und Pflege (mittlere Stufe)"
323,32,"Fachkräfte in traditioneller und komplementärer Medizin"
324,32,"Veterinärmedizinische Fachkräfte und Assistenten"
325,32,"Sonstige Assistenzberufe im Gesundheitswesen"
330,33,"Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte, onA"
331,33,"Fachkräfte im Bereich Finanzen und mathematische Verfahren"
332,33,"Verkaufsfachkräfte, Einkäufer und Handelsmakler"
333,33,"Fachkräfte für unternehmensbezogene Dienstleistungen"
334,33,"Sekretariatsfachkräfte"
335,33,"Fachkräfte in der öffentlichen Verwaltung"
340,34,"Juristische, soziale, kulturelle und verwandte Fachkräfte, onA"
341,34,"Juristische, soziale und religiöse Berufe"
342,34,"Fachkräfte im Bereich Sport und Fitness"
343,34,"Fachkräfte in Gestaltung und Kultur sowie Küchenchefs"
350,35,"Informations- und Kommunikationstechniker, onA"
351,35,"Techniker für den Betrieb von Informations- und Kommunikationstechnologie und für die Anwenderbetreuung"
352,35,"Telekommunikations- und Rundfunktechniker"
400,40,"Bürokräfte und verwandte Berufe, onA"
410,41,"Allgemeine Büro- und Sekretariatskräfte, onA"
411,41,"Allgemeine Bürokräfte"
412,41,"Sekretariatskräfte (allgemein)"
413,41,"Schreibkräfte und Datenerfasser"
420,42,"Bürokräfte mit Kundenkontakt, onA"
421,42,"Schalterbedienstete, Inkassobeauftragte und verwandte Berufe"
422,42,"Berufe im Bereich Kundeninformation"
430,43,"Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft, onA"
431,43,"Bürokräfte im Finanz- und Rechnungswesen und in der Statistik"
432,43,"Bürokräfte im Bereich Materialwirtschaft und Transport und verwandte Berufe"
441,44,"Sonstige Bürokräfte und verwandte Berufe"
500,50,"Dienstleistungsberufe und Verkäufer, onA"
510,51,"Berufe im Bereich personenbezogener Dienstleistungen, onA"
511,51,"Reisebegleiter, Schaffner und Reiseleiter"
512,51,"Köche"
