"cod_isco3","Parent","txt_isco3"
11,1,NA
21,2,NA
31,3,NA
100,10,NA
110,11,NA
111,11,NA
112,11,NA
120,12,NA
121,12,NA
122,12,NA
130,13,NA
131,13,NA
132,13,NA
133,13,NA
134,13,NA
140,14,NA
141,14,NA
142,14,NA
143,14,NA
200,20,NA
210,21,NA
211,21,NA
212,21,NA
213,21,NA
214,21,NA
215,21,NA
216,21,NA
220,22,NA
221,22,NA
222,22,NA
223,22,NA
224,22,NA
225,22,NA
226,22,NA
230,23,NA
231,23,NA
232,23,NA
233,23,NA
234,23,NA
235,23,NA
240,24,NA
241,24,NA
242,24,NA
243,24,NA
250,25,NA
251,25,NA
252,25,NA
260,26,NA
261,26,NA
262,26,NA
263,26,NA
264,26,NA
265,26,NA
300,30,NA
310,31,NA
311,31,NA
312,31,NA
313,31,NA
314,31,NA
315,31,NA
320,32,NA
321,32,NA
322,32,NA
323,32,NA
324,32,NA
325,32,NA
330,33,NA
331,33,NA
332,33,NA
333,33,NA
334,33,NA
335,33,NA
340,34,NA
341,34,NA
342,34,NA
343,34,NA
350,35,NA
351,35,NA
352,35,NA
400,40,NA
410,41,NA
411,41,NA
412,41,NA
413,41,NA
420,42,NA
421,42,NA
422,42,NA
430,43,NA
431,43,NA
432,43,NA
441,44,NA
500,50,NA
510,51,NA
511,51,NA
512,51,NA
513,51,NA
514,51,NA
515,51,NA
516,51,NA
520,52,NA
521,52,NA
522,52,NA
523,52,NA
524,52,NA
530,53,NA
531,53,NA
532,53,NA
541,54,NA
600,60,NA
610,61,NA
611,61,NA
612,61,NA
613,61,NA
620,62,NA
621,62,NA
622,62,NA
630,63,NA
631,63,NA
632,63,NA
633,63,NA
634,63,NA
700,70,NA
710,71,NA
711,71,NA
712,71,NA
713,71,NA
720,72,NA
721,72,NA
722,72,NA
723,72,NA
730,73,NA
731,73,NA
732,73,NA
740,74,NA
741,74,NA
742,74,NA
750,75,NA
751,75,NA
752,75,NA
753,75,NA
754,75,NA
800,80,NA
810,81,NA
811,81,NA
812,81,NA
813,81,NA
814,81,NA
815,81,NA
816,81,NA
817,81,NA
818,81,NA
820,82,NA
821,82,NA
830,83,NA
831,83,NA
832,83,NA
833,83,NA
834,83,NA
835,83,NA
900,90,NA
910,91,NA
911,91,NA
912,91,NA
921,92,NA
930,93,NA
931,93,NA
932,93,NA
933,93,NA
941,94,NA
950,95,NA
951,95,NA
952,95,NA
960,96,NA
961,96,NA
962,96,NA
