"cod_isco4","cod_isco2","txt_isco4"
110,11,"Offiziere in regulären Streitkräften"
210,21,"Unteroffiziere in regulären Streitkräften"
310,31,"Angehörige der regulären Streitkräfte in sonstigen Rängen"
1000,100,"Führungskräfte, onA"
1100,110,"Geschäftsführer, Vorstände, leitende Verwaltungsbedienstete und Angehörige gesetzgebender Körperschaften, onA"
1110,111,"Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete, onA"
1111,111,"Angehörige gesetzgebender Körperschaften"
1112,111,"Leitende Verwaltungsbedienstete"
1113,111,"Traditionelle Dorf- und Stammeshäuptlinge"
1114,111,"Leitende Bedienstete von Interessenorganisationen"
1120,112,"Geschäftsführer und Vorstände"
1200,120,"Führungskräfte im kaufmännischen Bereich, onA"
1210,121,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, onA"
1211,121,"Führungskräfte im Bereich Finanzen"
1212,121,"Führungskräfte im Personalwesen"
1213,121,"Führungskräfte in Unternehmenspolitik und -planung"
1219,121,"Führungskräfte in der betrieblichen Administration und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt"
1220,122,"Führungskräfte in Vertrieb, Marketing und Entwicklung, onA"
1221,122,"Führungskräfte in Vertrieb und Marketing"
1222,122,"Führungskräfte in Werbung und Öffentlichkeitsarbeit"
1223,122,"Führungskräfte in Forschung und Entwicklung"
1300,130,"Führungskräfte in der Produktion und bei spezialisierten Dienstleistungen, onA"
1310,131,"Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei, onA"
1311,131,"Führungskräfte in der Produktion in Land- und Forstwirtschaft"
1312,131,"Führungskräfte in der Produktion in Aquakultur und Fischerei"
1320,132,"Führungskräfte in der Produktion von Waren, im Bergbau und im Bau sowie in der Logistik, onA"
1321,132,"Führungskräfte in der Produktion von Waren"
1322,132,"Führungskräfte in der Produktion im Bergbau"
1323,132,"Führungskräfte in der Produktion im Bau"
1324,132,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen"
1330,133,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie"
1340,134,"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, onA"
1341,134,"Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung"
1342,134,"Führungskräfte in der Gesundheitsversorgung"
1343,134,"Führungskräfte in der Erbringung von Dienstleistungen für Menschen im Alter"
1344,134,"Führungskräfte in der Erbringung von Dienstleistungen der sozialen Institutionen"
1345,134,"Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens"
1346,134,"Führungskräfte in der Erbringung von Finanz- und Versicherungsdienstleistungen"
1349,134,"Führungskräfte in der Erbringung von spezialisierten Dienstleistungen, anderweitig nicht genannt"
1400,140,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen, onA"
1410,141,"Führungskräfte in Hotels und Restaurants, onA"
1411,141,"Führungskräfte in Hotels"
1412,141,"Führungskräfte in Restaurants"
1420,142,"Führungskräfte in Gross- und Einzelhandel"
1430,143,"Führungskräfte in der Erbringung sonstiger Dienstleistungen, onA"
1431,143,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur"
1439,143,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt"
2000,200,"Intellektuelle und wissenschaftliche Berufe, onA"
2100,210,"Naturwissenschaftler, Mathematiker und Ingenieure, onA"
2110,211,"Physiker, Chemiker, Geologen und verwandte Berufe, onA"
2111,211,"Physiker und Astronomen"
2112,211,"Meteorologen"
2113,211,"Chemiker"
2114,211,"Geologen und Geophysiker"
2120,212,"Mathematiker, Aktuare und Statistiker"
2130,213,"Biowissenschaftler, onA"
2131,213,"Biologen, Botaniker, Zoologen und verwandte Berufe"
2132,213,"Agrar-, Forst- und Fischereiwissenschaftler und -berater"
2133,213,"Umweltwissenschaftler"
2140,214,"Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation), onA"
2141,214,"Prozess- und Produktionsingenieure"
2142,214,"Bauingenieure"
2143,214,"Umweltschutzingenieure"
2144,214,"Maschinenbau- , Mechatronik- und Systemtechnikingenieure"
2145,214,"Chemieingenieure"
2146,214,"Bergbauingenieure, Metallurgen und verwandte Berufe"
2149,214,"Ingenieure, anderweitig nicht genannt"
2150,215,"Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik, onA"
2151,215,"Ingenieure im Bereich Elektrotechnik"
2152,215,"Ingenieure im Bereich Elektronik"
2153,215,"Ingenieure im Bereich Telekommunikationstechnik"
2160,216,"Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer, onA"
