"cod_isco4","cod_isco2","txt_isco4"
110,11,NA
210,21,NA
310,31,NA
1000,100,NA
1100,110,NA
1110,111,NA
1111,111,NA
1112,111,NA
1113,111,NA
1114,111,NA
1120,112,NA
1200,120,NA
1210,121,NA
1211,121,NA
1212,121,NA
1213,121,NA
1219,121,NA
1220,122,NA
1221,122,NA
1222,122,NA
1223,122,NA
1300,130,NA
1310,131,NA
1311,131,NA
1312,131,NA
1320,132,NA
1321,132,NA
1322,132,NA
1323,132,NA
1324,132,NA
1330,133,NA
1340,134,NA
1341,134,NA
1342,134,NA
1343,134,NA
1344,134,NA
1345,134,NA
1346,134,NA
1349,134,NA
1400,140,NA
1410,141,NA
1411,141,NA
1412,141,NA
1420,142,NA
1430,143,NA
1431,143,NA
1439,143,NA
2000,200,NA
2100,210,NA
2110,211,NA
2111,211,NA
2112,211,NA
2113,211,NA
2114,211,NA
2120,212,NA
2130,213,NA
2131,213,NA
2132,213,NA
2133,213,NA
2140,214,NA
2141,214,NA
2142,214,NA
2143,214,NA
2144,214,NA
2145,214,NA
2146,214,NA
2149,214,NA
2150,215,NA
2151,215,NA
2152,215,NA
2153,215,NA
2160,216,NA
2161,216,NA
2162,216,NA
2163,216,NA
2164,216,NA
2165,216,NA
2166,216,NA
2200,220,NA
2210,221,NA
2211,221,NA
2212,221,NA
2220,222,NA
2221,222,NA
2222,222,NA
2230,223,NA
2240,224,NA
2250,225,NA
2260,226,NA
2261,226,NA
2262,226,NA
2263,226,NA
2264,226,NA
2265,226,NA
2266,226,NA
2267,226,NA
2269,226,NA
2300,230,NA
2310,231,NA
2320,232,NA
2330,233,NA
2340,234,NA
2341,234,NA
2342,234,NA
2350,235,NA
2351,235,NA
2352,235,NA
2353,235,NA
2354,235,NA
2355,235,NA
2356,235,NA
2359,235,NA
2400,240,NA
2410,241,NA
2411,241,NA
2412,241,NA
2413,241,NA
2420,242,NA
2421,242,NA
2422,242,NA
2423,242,NA
2424,242,NA
2430,243,NA
2431,243,NA
2432,243,NA
2433,243,NA
2434,243,NA
2500,250,NA
2510,251,NA
2511,251,NA
2512,251,NA
2513,251,NA
2514,251,NA
2519,251,NA
2520,252,NA
2521,252,NA
2522,252,NA
2523,252,NA
2529,252,NA
2600,260,NA
2610,261,NA
2611,261,NA
2612,261,NA
2619,261,NA
2620,262,NA
2621,262,NA
2622,262,NA
2630,263,NA
2631,263,NA
2632,263,NA
2633,263,NA
2634,263,NA
2635,263,NA
2636,263,NA
2640,264,NA
2641,264,NA
2642,264,NA
2643,264,NA
2650,265,NA
2651,265,NA
2652,265,NA
2653,265,NA
2654,265,NA
2655,265,NA
2656,265,NA
2659,265,NA
3000,300,NA
3100,310,NA
3110,311,NA
3111,311,NA
3112,311,NA
3113,311,NA
3114,311,NA
3115,311,NA
3116,311,NA
3117,311,NA
3118,311,NA
3119,311,NA
3120,312,NA
3121,312,NA
3122,312,NA
3123,312,NA
3130,313,NA
3131,313,NA
3132,313,NA
3133,313,NA
3134,313,NA
3135,313,NA
3139,313,NA
3140,314,NA
3141,314,NA
3142,314,NA
3143,314,NA
3150,315,NA
