"cod_isco6","Parent","txt_isco_de","txt_isco_en","txt_isco_fr","txt_isco_it","txt_isco_rm"
11101001,61300,"Bergbauer | Bergbäuerin","Mountain farmer","Paysan de montagne | Paysanne de montagne","Contadino di montagna | Contadina di montagna",""
11101002,61300,"Kleinbauer | Kleinbäuerin","Small farmer","Petit agriculteur | Petite agricultrice","Contadino (piccolo proprietario rurale) | Contadina (piccola proprietaria rurale)",""
11101003,61300,"Bauer | Bäuerin","Farmer","Paysan | Paysanne","Contadino | Contadina","Pur | Pura"
11101004,61300,"Landwirt | Landwirtin","Farmer","Agriculteur | Agricultrice","Agricoltore | Agricoltrice","Pur | Pura"
11101005,61300,"Pächter | Pächterin","Tenant","Fermier | Fermière","Fittavolo | Fittavola",""
11101007,61300,"Landwirtschaftlicher Produzent | Landwirtschaftliche Produzentin","","Producteur agricole | Productrice agricole","Coltivatore agricolo | Coltivatrice agricola",""
11101008,61300,"Landwirt-Viehzüchter | Landwirtin-Viehzüchterin","Livestock producer","Agriculteur-éleveur de bétail | Agricultrice-éleveuse de bétail","Agricoltore allevatore di bestiame | Agricoltrice allevatrice di bestiame",""
11101009,92130,"Betriebshelfer | Betriebshelferin","","Aide d'exploitation agricole","Aiutante d'azienda agricola",""
11101010,61300,"Landwirt, Meister HFP | Landwirtin, Meisterin HFP","","Agriculteur, maître EPS | Agricultrice, maître EPS","Agricoltore, maestro EPS | Agricoltrice, maestra EPS","Pur, maister EPS | Pura, maistra EPS"
11101011,92130,"Betriebshelfer | Betriebshelferin","","Aide d'exploitation agricole","Bracciante agricolo | Bracciante agricola",""
11101012,61300,"Bauer, dipl., eidg. FA | Bäuerin, dipl., eidg. FA","","Paysan diplômé EP | Paysanne diplômée EP","Massaio rurale dipl. APF | Massaia rurale dipl. APF",""
11101013,61300,"Landwirt/Gastwirt | Landwirtin/Gastwirtin","Farmer/landlord | Farmer/landlady","Paysan/Restaurateur | Paysanne/Restauratrice","Agricoltore/Esercente | Agricoltrice/Esercente",""
11101014,61300,"Landwirtschaftlicher Betriebs- und Dorfhelfer | Landwirtschaftliche Betriebs- und Dorfhelferin","","Vulgarisateur agricole | Vulgarisatrice agricole","Consulente e collaboratore agricolo | Consulente e collaboratrice agricola",""
