"cod_isco6","Parent","txt_isco6"
11101001,61300,"Contadino di montagna | Contadina di montagna"
11101002,61300,"Contadino (piccolo proprietario rurale) | Contadina (piccola proprietaria rurale)"
11101003,61300,"Contadino | Contadina"
11101004,61300,"Agricoltore | Agricoltrice"
11101005,61300,"Fittavolo | Fittavola"
11101007,61300,"Coltivatore agricolo | Coltivatrice agricola"
11101008,61300,"Agricoltore allevatore di bestiame | Agricoltrice allevatrice di bestiame"
11101009,92130,"Aiutante d'azienda agricola"
11101010,61300,"Agricoltore, maestro EPS | Agricoltrice, maestra EPS"
11101011,92130,"Bracciante agricolo | Bracciante agricola"
11101012,61300,"Massaio rurale dipl. APF | Massaia rurale dipl. APF"
11101013,61300,"Agricoltore/Esercente | Agricoltrice/Esercente"
11101014,61300,"Consulente e collaboratore agricolo | Consulente e collaboratrice agricola"
11101016,61300,"Dirigente agricolo | Dirigente agricola"
11101017,61300,"Agricoltore frutticoltore | Agricoltrice frutticoltrice"
11101018,61300,"Agricoltore vignaiolo | Agricoltrice vignaiola"
11101019,61300,"Contadino giardiniere | Contadina giardiniera"
11101020,61300,"Fattore | Fattora"
11101021,61300,"Agricoltore (esame di capacità) | Agricoltrice (esame di capacità)"
11101022,61300,"Contadino APF | Contadina APF"
11101023,61300,"Agricoltore, maestro | Agricoltrice, maestra"
11101024,61300,"Massaio rurale dipl. | Massaia rurale dipl."
11101025,61300,"Contadino, dipl. EPS | Contadina, dipl. EPS"
11101026,61300,"Agricoltore, agricoltura biologica | Agricoltrice, agricoltura biologica"
11101027,61300,"Agricoltore APF | Agricoltrice APF"
11101028,61211,"Contadino di montagna/casaro alpigiano | Contadina di montagna/casara alpigiana"
11101029,61300,"Specialista in agricoltura biodinamica, APF"
11101030,61300,"Addetto alle attività agricole CFP | Addetta alle attività agricole CFP"
11101031,61300,"Addetto alle attività agricole CFP, agricoltura | Addetta alle attività agricole CFP, agricoltura"
11101032,61300,"Responsabile d'economia domestica rurale APF | Contadina APF"
11101033,61300,"Agricoltore AFC | Agricoltrice AFC"
11101034,61300,"Maestro agricoltore, dipl. EPS | Maestra agricoltrice, dipl. EPS"
11101035,61300,"Agricoltore Demeter | Agricoltrice Demeter"
11101036,61300,"Responsabile d'economia domestica rurale, dipl. EPS | Contadina, dipl. EPS"
11101037,61300,"Responsabile di azienda agricola APF"
11101038,61211,"Responsabile dell'alpe"
11102001,92130,"Garzone agricolo | Garzona agricola"
11102002,92130,"Domestico agricolo | Domestica agricola"
11102003,92130,"Ausiliario agricolo | Ausiliaria agricola"
11102004,92130,"Aiuto carrettiere | Aiuto carrettiera"
11102005,92120,"Garzone di stalla | Garzona di stalla"
11102006,92130,"Giornaliero agricolo | Giornaliera agricola"
11102007,92130,"Capobracciante"
11102008,92130,"Operaio agricolo | Operaia agricola"
11102009,92120,"Mungitore | Mungitrice"
11102010,92130,"Impiegato agricolo | Impiegata agricola"
11102011,92130,"Aiuto agricolo | Aiuto agricola"
11102012,92130,"Carrettiere | Carrettiera"
11102013,61211,"Pastore (pastori e guardiani di animali) | Pastora (pastori e guardiani di animali)"
11102014,61211,"Pastore alpigiano | Pastora alpigiana"
11102015,92120,"Vaccaro | Vaccara"
