"cod_noga4","cod_noga2","txt_noga4"
111,11,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten"
112,11,"Anbau von Reis"
113,11,"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen"
114,11,"Anbau von Zuckerrohr"
115,11,"Anbau von Tabak"
116,11,"Anbau von Faserpflanzen"
119,11,"Anbau von sonstigen einjährigen Pflanzen"
121,12,"Anbau von Wein- und Tafeltrauben"
122,12,"Anbau von tropischen und subtropischen Früchten"
123,12,"Anbau von Zitrusfrüchten"
124,12,"Anbau von Kern- und Steinobst"
125,12,"Anbau von sonstigem Obst und Nüssen"
126,12,"Anbau von ölhaltigen Früchten"
127,12,"Anbau von Pflanzen zur Herstellung von Getränken"
128,12,"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke"
129,12,"Anbau sonstiger mehrjähriger Pflanzen"
130,13,"Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken"
141,14,"Haltung von Milchkühen"
142,14,"Haltung von anderen Rindern"
143,14,"Haltung von Pferden und Eseln"
144,14,"Haltung von Kamelen"
145,14,"Haltung von Schafen und Ziegen"
146,14,"Haltung von Schweinen"
147,14,"Haltung von Geflügel"
149,14,"Sonstige Tierhaltung"
150,15,"Gemischte Landwirtschaft"
161,16,"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau"
162,16,"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung"
163,16,"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung"
164,16,"Saatgutaufbereitung"
170,17,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
210,21,"Forstwirtschaft"
220,22,"Holzeinschlag"
230,23,"Sammeln von wild wachsenden Produkten (ohne Holz)"
240,24,"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag"
311,31,"Meeresfischerei"
312,31,"Süsswasserfischerei"
321,32,"Meeresaquakultur"
322,32,"Süsswasseraquakultur"
510,51,"Steinkohlenbergbau"
520,52,"Braunkohlenbergbau"
610,61,"Gewinnung von Erdöl"
620,62,"Gewinnung von Erdgas"
710,71,"Eisenerzbergbau"
721,72,"Bergbau auf Uran- und Thoriumerze"
729,72,"Sonstiger NE-Metallerzbergbau"
811,81,"Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer"
812,81,"Gewinnung von Kies, Sand, Ton und Kaolin"
891,89,"Bergbau auf chemische und Düngemittelminerale"
892,89,"Torfgewinnung"
893,89,"Gewinnung von Salz"
899,89,"Gewinnung von Steinen und Erden a. n. g."
910,91,"Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas"
990,99,"Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden"
1011,101,"Schlachten (ohne Schlachten von Geflügel)"
1012,101,"Schlachten von Geflügel"
1013,101,"Fleischverarbeitung"
1020,102,"Fischverarbeitung"
1031,103,"Kartoffelverarbeitung"
1032,103,"Herstellung von Frucht- und Gemüsesäften"
1039,103,"Sonstige Verarbeitung von Obst und Gemüse"
1041,104,"Herstellung von Ölen und Fetten (ohne Margarine u. ä. Nahrungsfette)"
1042,104,"Herstellung von Margarine u. ä. Nahrungsfetten"
1051,105,"Milchverarbeitung (ohne Herstellung von Speiseeis)"
1052,105,"Herstellung von Speiseeis"
1061,106,"Mahl- und Schälmühlen"
1062,106,"Herstellung von Stärke und Stärkeerzeugnissen"
1071,107,"Herstellung von Backwaren (ohne Dauerbackwaren)"
1072,107,"Herstellung von Dauerbackwaren"
1073,107,"Herstellung von Teigwaren"
1081,108,"Herstellung von Zucker"
1082,108,"Herstellung von Süsswaren (ohne Dauerbackwaren)"
1083,108,"Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz"
1084,108,"Herstellung von Würzmitteln und Saucen"
1085,108,"Herstellung von Fertiggerichten"
1086,108,"Herstellung von homogenisierten und diätetischen Nahrungsmitteln"
1089,108,"Herstellung von sonstigen Nahrungsmitteln a. n. g."
1091,109,"Herstellung von Futtermitteln für Nutztiere"
1092,109,"Herstellung von Futtermitteln für sonstige Tiere"
1101,110,"Herstellung von Spirituosen"
1102,110,"Herstellung von Traubenwein"
1103,110,"Herstellung von Apfelwein und anderen Fruchtweinen"
1104,110,"Herstellung von Wermutwein und sonstigen aromatisierten Weinen"
1105,110,"Herstellung von Bier"
1106,110,"Herstellung von Malz"
1107,110,"Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer"
1200,120,"Tabakverarbeitung"
1310,131,"Spinnstoffaufbereitung und Spinnerei"
1320,132,"Weberei"
1330,133,"Veredlung von Textilien und Bekleidung"
1391,139,"Herstellung von gewirktem und gestricktem Stoff"
1392,139,"Herstellung von konfektionierten Textilwaren (ohne Bekleidung)"
1393,139,"Herstellung von Teppichen"
1394,139,"Herstellung von Seilerwaren"
1395,139,"Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung)"
1396,139,"Herstellung von technischen Textilien"
1399,139,"Herstellung von sonstigen Textilwaren a. n. g."
1411,141,"Herstellung von Lederbekleidung"
1412,141,"Herstellung von Arbeits- und Berufsbekleidung"
1413,141,"Herstellung von sonstiger Oberbekleidung"
1414,141,"Herstellung von Wäsche"
1419,141,"Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g."
1420,142,"Herstellung von Pelzwaren"
1431,143,"Herstellung von Strumpfwaren"
1439,143,"Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff"
1511,151,"Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen"
1512,151,"Lederverarbeitung (ohne Herstellung von Lederbekleidung)"
1520,152,"Herstellung von Schuhen"
1610,161,"Säge-, Hobel- und Holzimprägnierwerke"
1621,162,"Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten"
1622,162,"Herstellung von Parketttafeln"
1623,162,"Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz"
1624,162,"Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz"
1629,162,"Herstellung von Holzwaren a. n. g, Kork-, Flecht- und Korbwaren (ohne Möbel)"
1711,171,"Herstellung von Holz- und Zellstoff"
1712,171,"Herstellung von Papier, Karton und Pappe"
1721,172,"Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe"
1722,172,"Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe"
1723,172,"Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe"
1724,172,"Herstellung von Tapeten"
1729,172,"Herstellung von sonstigen Waren aus Papier, Karton und Pappe"
1811,181,"Drucken von Zeitungen"
1812,181,"Drucken a. n. g."
1813,181,"Druck- und Medienvorstufe"
1814,181,"Binden von Druckerzeugnissen und damit verbundene Dienstleistungen"
1820,182,"Vervielfältigung von bespielten Ton-, Bild- und Datenträgern"
1910,191,"Kokerei"
1920,192,"Mineralölverarbeitung"
2011,201,"Herstellung von Industriegasen"
2012,201,"Herstellung von Farbstoffen und Pigmenten"
2013,201,"Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien"
2014,201,"Herstellung von sonstigen organischen Grundstoffen und Chemikalien"
2015,201,"Herstellung von Düngemitteln und Stickstoffverbindungen"
2016,201,"Herstellung von Kunststoffen in Primärformen"
2017,201,"Herstellung von synthetischem Kautschuk in Primärformen"
2020,202,"Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln"
2030,203,"Herstellung von Anstrichmitteln, Druckfarben und Kitten"
2041,204,"Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln"
2042,204,"Herstellung von Körperpflegemitteln und Duftstoffen"
2051,205,"Herstellung von pyrotechnischen Erzeugnissen"
2052,205,"Herstellung von Klebstoffen"
2053,205,"Herstellung von ätherischen Ölen"
2059,205,"Herstellung von sonstigen chemischen Erzeugnissen a. n. g."
2060,206,"Herstellung von Chemiefasern"
2110,211,"Herstellung von pharmazeutischen Grundstoffen"
2120,212,"Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen"
2211,221,"Herstellung und Runderneuerung von Bereifungen"
2219,221,"Herstellung von sonstigen Gummiwaren"
2221,222,"Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen"
2222,222,"Herstellung von Verpackungsmitteln aus Kunststoffen"
2223,222,"Herstellung von Baubedarfsartikeln aus Kunststoffen"
2229,222,"Herstellung von sonstigen Kunststoffwaren"
2311,231,"Herstellung von Flachglas"
2312,231,"Veredlung und Bearbeitung von Flachglas"
2313,231,"Herstellung von Hohlglas"
2314,231,"Herstellung von Glasfasern und Waren daraus"
2319,231,"Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschliesslich technischen Glaswaren"
2320,232,"Herstellung von feuerfesten keramischen Werkstoffen und Waren"
2331,233,"Herstellung von keramischen Wand- und Bodenfliesen und -platten"
2332,233,"Herstellung von Ziegeln und sonstiger Baukeramik"
2341,234,"Herstellung von keramischen Haushaltswaren und Ziergegenständen"
2342,234,"Herstellung von Sanitärkeramik"
2343,234,"Herstellung von Isolatoren und Isolierteilen aus Keramik"
2344,234,"Herstellung von sonstigen keramischen Erzeugnissen für technische Zwecke"
2349,234,"Herstellung von sonstigen keramischen Erzeugnissen"
2351,235,"Herstellung von Zement"
2352,235,"Herstellung von Kalk und gebranntem Gips"
2361,236,"Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau"
2362,236,"Herstellung von Gipserzeugnissen für den Bau"
2363,236,"Herstellung von Frischbeton (Transportbeton)"
2364,236,"Herstellung von Mörtel und anderem Beton (Trockenbeton)"
2365,236,"Herstellung von Faserzementwaren"
2369,236,"Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips a. n. g."
2370,237,"Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g."
2391,239,"Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage"
2399,239,"Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g."
2410,241,"Erzeugung von Roheisen, Stahl und Ferrolegierungen"
2420,242,"Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl"
2431,243,"Herstellung von Blankstahl"
2432,243,"Herstellung von Kaltband mit einer Breite von weniger als 600 mm"
2433,243,"Herstellung von Kaltprofilen"
2434,243,"Herstellung von kaltgezogenem Draht"
2441,244,"Erzeugung und erste Bearbeitung von Edelmetallen"
2442,244,"Erzeugung und erste Bearbeitung von Aluminium"
2443,244,"Erzeugung und erste Bearbeitung von Blei, Zink und Zinn"
2444,244,"Erzeugung und erste Bearbeitung von Kupfer"
2445,244,"Erzeugung und erste Bearbeitung von sonstigen NE-Metallen"
2446,244,"Aufbereitung von Kernbrennstoffen"
2451,245,"Eisengiessereien"
2452,245,"Stahlgiessereien"
2453,245,"Leichtmetallgiessereien"
2454,245,"Buntmetallgiessereien"
2511,251,"Herstellung von Metallkonstruktionen"
2512,251,"Herstellung von Ausbauelementen aus Metall"
2521,252,"Herstellung von Heizkörpern und -kesseln für Zentralheizungen"
2529,252,"Herstellung von Sammelbehältern, Tanks u. ä. Behältern aus Metall"
2530,253,"Herstellung von Dampfkesseln (ohne Zentralheizungskessel)"
2540,254,"Herstellung von Waffen und Munition"
2550,255,"Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen"
2561,256,"Oberflächenveredlung und Wärmebehandlung"
2562,256,"Mechanik a. n. g."
2571,257,"Herstellung von Schneidwaren und Bestecken aus unedlen Metallen"
2572,257,"Herstellung von Schlössern und Beschlägen aus unedlen Metallen"
2573,257,"Herstellung von Werkzeugen"
2591,259,"Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall"
2592,259,"Herstellung von Verpackungen und Verschlüssen aus Eisen, Stahl und NE-Metall"
2593,259,"Herstellung von Drahtwaren, Ketten und Federn"
2594,259,"Herstellung von Schrauben und Nieten"
2599,259,"Herstellung von sonstigen Metallwaren a. n. g."
2611,261,"Herstellung von elektronischen Bauelementen"
2612,261,"Herstellung von bestückten Leiterplatten"
2620,262,"Herstellung von Datenverarbeitungsgeräten und peripheren Geräten"
2630,263,"Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik"
2640,264,"Herstellung von Geräten der Unterhaltungselektronik"
2651,265,"Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen"
2652,265,"Herstellung von Uhren"
2660,266,"Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten"
2670,267,"Herstellung von optischen und fotografischen Instrumenten und Geräten"
2680,268,"Herstellung von magnetischen und optischen Datenträgern"
2711,271,"Herstellung von Elektromotoren, Generatoren und Transformatoren"
2712,271,"Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen"
2720,272,"Herstellung von Batterien und Akkumulatoren"
2731,273,"Herstellung von Glasfaserkabeln"
2732,273,"Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln"
2733,273,"Herstellung von elektrischem Installationsmaterial"
2740,274,"Herstellung von elektrischen Lampen und Leuchten"
2751,275,"Herstellung von elektrischen Haushaltsgeräten"
2752,275,"Herstellung von nichtelektrischen Haushaltsgeräten"
